canvas,label,h1,h2
0,Cover,,
1,,,
2,,,
3,,,
4,1,Polychronicon 1939,
5,2,,
6,3,,
7,4,,
8,5,,Dedication
9,6,Introduction,
10,7,,
11,8,The Stage,
12,9,,
13,10,,
14,11,,
15,12,,Faculty
16,13,,
17,14,,
18,15,,
19,16,,
20,17,,
21,18,,
22,19,,
23,20,,
24,21,,
25,22,The Cast,
26,23,,
27,24,,
28,25,,Seniors
29,26,,
30,27,,
31,28,,
32,29,,
33,30,,
34,31,,
35,32,,Activities of the Class of 1939
36,33,,
37,34,,
38,35,,Juniors
39,36,,
40,37,,
41,38,,
42,39,,
43,40,,
44,41,,
45,42,,
46,43,,Sophomores
47,44,,
48,45,,
49,46,,
50,47,,
51,48,,
52,49,,Freshmen
53,50,,
54,51,,
55,52,,
56,53,,
57,54,The Play,
58,55,,
59,56,,
60,57,Fall,
61,58,,Convocation
62,59,,
63,60,,The 1939 Polychronicon
64,61,,
65,62,,The Barn Dance
66,63,,Interdorm Dance
67,64,,The Deeringskinder; Interdormitory Board
68,65,,
69,66,,Hayden House Committee; Student-Faculty Tea
70,67,Between the Acts,
71,68,,
72,69,,Spot Shots
73,70,,
74,71,Winter,
75,72,,League of Women Voters
76,73,,Home Economics Club
77,74,,Stunt Night
78,75,,
79,76,,Glee Club
80,77,,Christmas Carols
81,78,,Modern Dance Club; Present Day Club
82,79,,Forensic Club
83,80,,A.A.
84,81,,Sociology Club
85,82,,Parnassus; Morley Club
86,83,,Y.W.C.A.
87,84,,Martha Washington Ball
88,85,Between the Acts,
89,86,,Inter-Sorority Council
90,87,,Delta Phi Upsilon
91,88,,Phi Kappa Zeta
92,89,,Sigma Psi
93,90,,Gamma Delta Tau
94,91,,Theta Phi Omega
95,92,,Sigma Omega
96,93,,Nu Zeta Nu
97,94,,Delta Psi Omega
98,95,,Alpha Theta Epsilon
99,96,,Theta Lambda Phi
100,97,,Tau Delta Phi
101,98,,
102,99,Spring,
103,100,,Italian Club; French Club
104,101,,Student Council
105,102,,Archery; Tennis
106,103,,Outing Club; Hockey and Golf
107,104,,Curtain Players and Playmakers
108,105,,Sun Dial
109,106,,The Junior Prom
110,107,,May Day
111,108,,Step Night; Commencement
112,109,,
113,110,,
114,111,,
115,112,,Curtain Call
116,,,
117,,,
118,,,
119,Cover,,
